site_name,date,site_UTM,site_UTM_error,weather,no_researchers,researcher_initials,start_air_temp,end_air_temp,start_time,end_time,species,snake_id_no,snake_UTM,snake_UTM_error,capture_time,SFD_body_swab_ID,no_lesions,SFD_lesion_swab_ID,age (A/J),sex (M/F),mass_g,svl_mm,total_length_mm,no_photographs,photo_ids,live_dead_frozen_skin,tick_sample_id,comments
Vett Llyod Property(Quarry),2022-05-13,20T 0400072 UTM 5081078,3,Partially Cloudy,4,"JLR,JAB,IA,AM",21.3,NA,10:20,01:00,Maritime Garder,1,20T 0400074 UTM 5081079,1.8,10:20,"B_001,Bd_001",0,NA,J,NA,3.71,179,220,7,C61-C67,live,NA,"First snake,small poteintial lesions on head(refer to photo)"
Vett Llyod Property(Quarry),2022-05-13,20T 0400072 UTM 5081078,3,Partially Cloudy,4,"JLR,JAB,IA,AM",21.3,NA,10:20,01:00,Red Belly,2,20T 0400054 UTM 5081045,1.8,11:00,"B_002,Bd_002",0,NA,A,F,5.33,189,222,11,C68-C78,live,NA,"Missing right eye,light coloration,copper brown"
Vett Llyod Property(Quarry),2022-05-13,20T 0400072 UTM 5081078,3,Partially Cloudy,4,"JLR,JAB,IA,AM",21.3,NA,10:20,01:00,Maritime Garder,3,20T 0399982 UTM 5081045,1.8,12:30,"B_003,Bd_003",0,NA,J,NA,3.59,166,208,3,C79-C81,live,NA,Scar on ventral side near cloaca
Vett Llyod Camper Area/barn,2022-05-18,20T 0400042 UTM 5081280,6,"Cool,cloudy,windy",2,"IA,AM",16.6,18,09:29,11:30,Maritime Garder,4,20T 0400042 UTM 5081280,6,09:45,"B_004,Bd_004",3,"L_004,Ld_004",A,F,35,343,421,8,C103-C110,live,NA,Few nicks on underbelly
Ogden Brook Loop ,2022-05-19,20T 0390316 UTM 5087760,9,Sunny/warm,2,"IA,AM",25.9,23.9,NA,02:45,Maritime Garder,5,20T 0390316 UTM 5087760,9,02:18,"B_005,Bd_005",0,NA,A,F,39.5,380,485,7,C96-C102,live,NA,Dark green coloration found active
Quarry Lane,2022-05-26,20T 0392987 UTM 5083725,3,Sunny/few clouds,2,"IA,AM",16.5,NA,09:10,11:55,Maritime Garder,6,20T 0392982 UTM 5083710,5,10:39,"B_006,Bd_006",0,NA,J,NA,18.2,281,370,4,C82-C85,live,NA,Interesting side pattern.Found out in the open
Quarry Lane,2022-05-26,20T 0392987 UTM 5083725,3,Sunny/few clouds,2,"IA,AM",16.5,NA,09:10,11:55,Maritime Garder,7,20T 0392987 UTM 5083725,5,11:19,"B_007,Bd_007",0,NA,J,NA,19.1,286,304.5,10,C86-C95,live,NA,Missing tail(see photos).Found beside snake shed (finishing shed).Tip of tail was black.Found in the open
Mill Creek ,2022-05-30,20T 0363130 UTM 5101758,14,Warm/cloudy,2,"IA,AM",NA,NA,08:45,02:15,Maritime Garder,8,20T 0391358 UTM 5089165,3,08:53,"B_008,Bd_008",0,NA,A,F,118.5,417,552.5,13,"C1,C2,C11,C12,C17,C23,C25,C28,C30,C35,C36,C57,C58",live,NA,Ate something(lump in stomach)
Mill Creek ,2022-05-30,20T 0363130 UTM 5101758,14,Warm/cloudy,2,"IA,AM",NA,NA,08:45,02:15,Maritime Garder,9,20T 0363760 UTM 5102206,4,10:21,"B_009,Bd_009",0,NA,A,F,51,309,410,7,"C16,C21,C37,C40,C41,C47",live,NA,"Gash in body,lost teeth on hand "
Mill Creek ,2022-05-30,20T 0363130 UTM 5101758,14,Warm/cloudy,2,"IA,AM",NA,NA,08:45,02:15,Maritime Garder,10,20T 0363760 UTM 5102206,4,10:35,"B_010,Bd_010",1,"L_010,Ld_010",J,NA,10,284,347,8,"C6,C18-C20,C44,C45,C52,C60",live,NA,NA
