site_name,site_type,date_visited,rb_amount,sal_amount,gps NAD27 raw,gps WGS84 easting,gps WGS84 northing,gps NAD83 easting,gps NAD83 northing,longitude,latitude,gps_error_m,air_temp_strt,air_temp_end,air_temp_ave,soil_temp_site,air_moist_strt,air_moist_end,air_moist_avg,ave_t_under,ave_temp_diff,ave_m_under,ave_moist_diff,urban_level,patch_size,satellite_images,satellite_date,forest_type,soil_type,soil_moist_site_pc,soil_moist_site_v,canopy,pH,objects_flipped,leaf_litter,species_richness,weather_station,annual_temp,annual_precip,days_of_snow,sum_temp,wint_temp,MAT,MAP,AHM,DD18,RH,Tave_wt,Tave_sm,city_center,MAT_center,MAP_center,AHM_center,DD18_center,RH_center,Tave_wt_center,Tave_sm_center,MAT_diff,MAP_diff,AHM_diff,DD18_diff,RH_diff,Tave_wt_diff,Tave_sm_diff,julian_date,ecoregion
Chignecto_Isthmus_NS,natural,05/18/2023,13,13,20 0411284 5091618,411335.8406,5091843.687,411335.8406,5091843.687,-64.144529,45.974434,1.8,14.5,23,18.75,12,46,44,45,5.038461538,6.961538462,41.50769231,5.692307692,0,50,google,05/2017,mixed,peat,47.2,492,53.2,5.4,374,NA,1,Nappan Auto,7.388579387,1188.7,72,14.23021978,0.353672316,6.2,1152,14.1,133,67,-5.4,17.5,Sackville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23138,NS122
Baie_Verte,natural,05/26/2023,0,1,20 0416102 5095672,416153.7642,5095897.647,416153.7642,5095897.647,-64.08306,46.01152,NA,7.4,7.5,7.45,6.7,90,100,95,NA,NA,NA,NA,0,1.033,google,05/2023,mixed,peat,70.4,790,84.4,6.2,291,3.5,1,Nappan Auto,7.388579387,1188.7,72,14.23021978,0.353672316,6.3,1138,14.3,140,68,-5.3,17.6,Sackville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23146,NB6
Coles_Island,natural,06/12/2023,10,10,20 0293723 5090235,293774.555,5090459.743,293774.555,5090459.743,-65.660299,45.936734,1.8,23,27.4,25.2,18.8,25,43,34,16.73,2.07,48.96,-3.36,4.3,29.081,google,07/2023,deciduous,peat,45.6,456,96.88,5.6,212,3.5,1,sussex four corners,7.459615385,1318.8,91,14.88351648,0.035714286,5.6,1191,13.1,135,62,-7.1,17.6,Minto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23163,NB7
Wentworth,natural,06/26/2023,20,20,20 0456457 5048302,456509.0172,5048527.896,456509.0172,5048527.896,-63.55755,45.588933,2.2,13.5,14.8,14.15,13.8,100,100,100,14.71,-0.91,51.74,48.26,3.5,50,google,10/2023,mixed,peat,100,1284,97.92,6.7,311,2.5,1,debert,7.319008264,1353.4,70,14.14699454,0.377222222,6.1,1242,13,127,66,-5.3,17.3,Truro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23177,NS128
Soldier_Lake,natural,06/29/2023,2,7,20 0454461 4963520,454513.8787,4963745.045,454513.8787,4963745.045,-63.575381,44.825663,1.8,17.2,18.2,17.7,18.3,100,100,100,16.8,1.5,40.51428571,-1.314285714,3,50,google,09/2015,mixed,peat,39.2,364,94.8,6.2,582,4,4,halifax stanfield int'l a,7.975824176,1575.2,80,14.57595628,1.302762431,7.1,1430,11.9,157,67,-3.7,17.9,Halifax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23180,NS127
Pugwash,natural,07/04/2023,13,13,20 0448466 5073715,448517.983,5073940.926,448517.983,5073940.926,-63.662685,45.817109,1.9,17.8,17.7,17.75,18.9,100,100,100,18.66153846,0.238461538,61.88461538,38.11538462,1,1.505,google,10/2023,mixed,peat,100,1048,94,6.3,703,2.5,1,Nappan Auto,7.388579387,1188.7,72,14.23021978,0.353672316,6.5,1167,14.1,147,67,-5,17.7,Pugwash,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23185,NS122
Sea_Dog_Cove,natural,07/05/2023,11,11,19 0727189 5024552,727240.2315,5024777.375,727240.2315,5024777.375,-66.099599,45.33967,1.9,18.3,21,19.65,17.6,100,97,98.5,17.96363636,-0.363636364,44.40909091,-10.53909091,3.1,1.218,google,09/2015,coniferous,peat,33.87,302,95.84,6.4,429,2,1,saint john A,6.645325779,1702.4,72,13.45195531,-0.356896552,6.4,1319,12.5,101,69,-4.6,16.7,Saint John,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23186,NB5
Johnsons_Mills,natural,07/28/2023,29,29,20 0382794 5076234,382846.2593,5076459.683,382846.2593,5076459.683,-64.508422,45.831744,1.9,17.5,21.2,19.35,21,97,92,94.5,19.45862069,1.54137931,23.07241379,3.027586207,2.7,0.041,google,05/2017,coniferous,peat,26.1,204,87.52,4.7,372,1,1,Nappan Auto,7.388579387,1188.7,72,14.23021978,0.353672316,6.3,1182,13.8,136,65,-5.4,17.6,Sackville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23209,NB4
UNB_Woodlot,natural,08/08/2023,13,13,19 0681508 5087496,681561.141,5087723.872,681561.141,5087723.872,-66.658618,45.919093,1.8,15.7,16.6,16.15,16.6,93,91,92,16.20769231,0.392307692,28.15384615,2.646153846,0,8.022,google,06/2019,mixed,peat,30.8,262,86.48,6,272,2.5,1,fredericton cda cs,7.258448753,1340.7,140,9.240883978,-4.893333333,5.6,1169,13.3,147,63,-7.4,17.9,Fredericton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23220,NB7
Ogden_Loop,natural,08/10/2023,18,18,20 0390508 5088065,390560.0789,5088290.624,390560.0789,5088290.624,-64.411828,45.939464,1.8,15.9,20.3,18.1,16.8,91,69,80,16.66111111,0.138888889,25.16111111,-2.061111111,2.7,0.888,google,05/2017,deciduous,peat,23.1,171,93.7,5.4,459,1.8,1,Nappan Auto,7.388579387,1188.7,72,14.23021978,0.353672316,5.8,1210,13,117,66,-6,17.2,Sackville,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23222,NB6
