date,julian,plot_ID,group,plot_code,cloud_cover,current_precipitation,air_temp,humidity,,VWC,soil_temp,soil_pH,preceding_24h_rainfall,DSR,salamander_ID,species,social_status,group_size,mass_g,svl_mm,total_length_mm,sex,morph,gravid,age,zone,easting,northing,YSHR
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1001,RB,A,NA,0.84,42.88,85.43,F,RB,NA,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1002,RB,A,NA,0.50,34.87,74.77,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1005,RB,A,NA,0.47,34.98,65.62,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1006,RB,A,NA,1.08,40.22,84.61,F,RB,y,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1008,RB,A,NA,0.77,36.52,73.51,F,RB,y,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1009,RB,A,NA,1.13,41.79,85.55,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1011,RB,A,NA,0.84,38.53,79.76,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1013,RB,A,NA,0.52,36.89,65.11,F,RB,NA,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1015,RB,A,NA,0.63,35.04,75.06,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1016,RB,A,NA,0.63,31.76,66.32,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1017,RB,A,NA,0.86,39.27,78.73,F,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1010,RB,A,NA,0.29,26.22,51.48,J,RB,NA,J,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1012,RB,A,NA,0.19,24.22,43.28,J,RB,n,J,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,2,J1018,RB,A,NA,0.21,26.96,49.25,J,RB,NA,J,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1003,RB,A,NA,0.62,34.04,69.39,M,RB,NA,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1004,RB,A,NA,0.86,39.92,78.39,M,RB,n,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1014,RB,A,NA,0.68,35.58,72.93,M,RB,NA,A,19 T,712329,5095892,0
02-08-2022,22214,1,control,J,1,0,19,89,89.7,39.3,15.1,5.09,0,1,J1007,YS,A,NA,1.00,30.03,50.89,UNK,NA,NA,NA,19 T,712329,5095892,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1008,RB,A,NA,1.08,40.80,82.40,F,RB,n,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1016,RB,A,NA,1.16,42.10,88.20,F,RB,n,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1018,RB,A,NA,1.07,41.10,84.50,F,RB,NA,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1002,RB,G,6,0.06,14.60,24.76,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1003,RB,G,6,0.07,15.79,25.05,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1004,RB,G,6,0.06,14.41,24.89,J,RB,NA,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1005,RB,G,6,0.06,14.32,24.85,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1006,RB,G,6,0.06,14.55,24.91,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1007,RB,A,NA,0.36,29.40,53.70,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1010,RB,A,NA,0.29,27.60,52.00,J,RB,NA,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1011,RB,A,NA,0.49,31.20,51.80,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1012,RB,A,NA,0.42,29.60,56.80,J,RB,NA,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1014,RB,A,NA,0.25,27.10,50.90,J,RB,NA,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1015,RB,A,NA,0.19,23.60,44.40,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1017,RB,A,NA,0.18,30.00,56.30,J,RB,n,J,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1009,RB,A,NA,1.09,41.50,84.00,M,RB,n,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1013,RB,A,NA,1.09,40.00,83.20,M,RB,n,A,19 T,714006,5100422,0
16-08-2022,22228,2,control,R,1,0,26,63,79.4,11.7,14.3,5.05,0,2,R1001,RB,G,6,0.92,42.20,87.10,F,RB,n,A,19 T,714006,5100422,0
